dimension,noise_level,avg_procrustes_error,std_procrustes_error,valid_runs,all_errors
32,0.0,0.0058719832271534635,0.0022607939493280065,10,"[np.float64(0.008544715024658159), np.float64(0.011092588972579283), np.float64(0.004259236613070219), np.float64(0.005922820092773656), np.float64(0.002605025315030883), np.float64(0.004248848383632855), np.float64(0.005205970679643406), np.float64(0.005860155447620359), np.float64(0.00530668511891763), np.float64(0.005673786623608185)]"
32,0.01,0.006470147637149028,0.0022052123711681967,10,"[np.float64(0.009858337041720042), np.float64(0.004679439552918227), np.float64(0.0038313069956245373), np.float64(0.00945240567470178), np.float64(0.00865758175045936), np.float64(0.003536463250248824), np.float64(0.006282268981654686), np.float64(0.005638691357745709), np.float64(0.00497670768999235), np.float64(0.007788274076424755)]"
32,0.02,0.0054616490637152395,0.0013687989969018784,10,"[np.float64(0.005049261269694531), np.float64(0.005458064179234432), np.float64(0.006902511008257421), np.float64(0.004894404556148812), np.float64(0.003246447655347877), np.float64(0.005432524619009162), np.float64(0.005058843309623085), np.float64(0.004935656527867626), np.float64(0.008708089452285003), np.float64(0.004930688059684446)]"
32,0.03,0.005884905874427318,0.001455657005159899,10,"[np.float64(0.0063879106915713385), np.float64(0.005398841740043717), np.float64(0.005699215139187695), np.float64(0.006978335726581405), np.float64(0.005976944605325159), np.float64(0.004580613428985085), np.float64(0.00333607509501229), np.float64(0.009187235790597083), np.float64(0.005298448707352252), np.float64(0.006005437819617165)]"
32,0.04,0.007477574420444466,0.002020098370713181,10,"[np.float64(0.006246732050312067), np.float64(0.003910014589139615), np.float64(0.006559306504924899), np.float64(0.005757665446507456), np.float64(0.007967250374433826), np.float64(0.008004126269001694), np.float64(0.006322741396557525), np.float64(0.010607329663159994), np.float64(0.00891376211120372), np.float64(0.01048681579920386)]"
32,0.05,0.008674173524249873,0.0021401725037603174,10,"[np.float64(0.009210140607024079), np.float64(0.0071413623089964795), np.float64(0.012995842811174838), np.float64(0.007959730747250721), np.float64(0.006691017449405153), np.float64(0.009774459547717872), np.float64(0.005612301223614251), np.float64(0.007893847204749794), np.float64(0.011550293877793312), np.float64(0.007912739464772231)]"
32,0.06,0.00956714810296519,0.0019096650850719693,10,"[np.float64(0.013599285262482464), np.float64(0.009208495894164755), np.float64(0.011142402506961961), np.float64(0.009136904093204914), np.float64(0.007367756322168831), np.float64(0.009198649730276882), np.float64(0.006421555362633427), np.float64(0.011062823811417377), np.float64(0.009012263609267055), np.float64(0.009521344437074227)]"
32,0.07,0.010578019249714177,0.0024891685750007865,10,"[np.float64(0.00971089050462123), np.float64(0.008149845638117973), np.float64(0.014294428170022728), np.float64(0.007991738569802948), np.float64(0.009502355271285923), np.float64(0.008753476170416604), np.float64(0.010091185034076059), np.float64(0.01498037944639127), np.float64(0.013394178962802684), np.float64(0.00891171472960433)]"
32,0.08,0.012319018347969356,0.0025496240258345766,10,"[np.float64(0.013456356663564912), np.float64(0.01096339173550072), np.float64(0.013463910803721325), np.float64(0.01576886427158289), np.float64(0.011780086135358749), np.float64(0.012522562541950027), np.float64(0.017057551845356973), np.float64(0.00926345572336779), np.float64(0.009738099536453031), np.float64(0.009175904222837155)]"
32,0.09,0.01469291638440357,0.0020756588672482894,10,"[np.float64(0.012417004312863536), np.float64(0.015118094560359157), np.float64(0.017058898547470083), np.float64(0.017868471760372803), np.float64(0.014142626075105334), np.float64(0.013848192128499779), np.float64(0.014758750121439623), np.float64(0.01199520143599723), np.float64(0.012245033928087538), np.float64(0.017476890973840628)]"
32,0.1,0.01599614240050124,0.0022873942667355988,10,"[np.float64(0.01573877956596134), np.float64(0.01954051783495964), np.float64(0.013628847023175298), np.float64(0.01663419791943345), np.float64(0.019049292659266928), np.float64(0.013474555834732789), np.float64(0.0189517799608111), np.float64(0.014798308536563543), np.float64(0.014536642350818026), np.float64(0.01360850231929027)]"
32,0.11,0.016956065410037004,0.0013582719280008555,10,"[np.float64(0.01908006142659499), np.float64(0.017143769984337767), np.float64(0.014734563956163427), np.float64(0.01871291103294014), np.float64(0.0169602853980541), np.float64(0.01598200701346234), np.float64(0.018454088094204346), np.float64(0.01663067377247068), np.float64(0.01642164800506197), np.float64(0.015440645417080293)]"
32,0.12,0.019464515599799937,0.002406799153737522,10,"[np.float64(0.019399610249569522), np.float64(0.02582317408502611), np.float64(0.018244615489116763), np.float64(0.020507661720044423), np.float64(0.01794559389837634), np.float64(0.01756708234753996), np.float64(0.01976940017737901), np.float64(0.016542262932816135), np.float64(0.01899252750076277), np.float64(0.019853227597368312)]"
32,0.13,0.0221329932173078,0.002767700286025675,10,"[np.float64(0.022943048711893184), np.float64(0.019409382593957532), np.float64(0.021010157640746274), np.float64(0.02617917411114937), np.float64(0.02278676972287965), np.float64(0.023351612023343793), np.float64(0.017388312668760713), np.float64(0.026010048144965162), np.float64(0.018956631126636606), np.float64(0.02329479542874573)]"
