method,embedding_dim,accuracy_mean,accuracy_std,accuracy_count,embedding_time_mean,embedding_time_std,total_time_mean,total_time_std
full_graph,2,0.3481,0.0443,3,0.7699,0.0628,0.7772,0.0634
full_graph,4,0.4582,0.0558,3,0.7812,0.0064,0.7913,0.0057
full_graph,8,0.6335,0.0523,3,0.826,0.0096,0.8432,0.009
full_graph,16,0.7595,0.0562,3,0.979,0.0095,0.9997,0.0073
full_graph,32,0.8296,0.0117,3,1.3406,0.0261,1.3629,0.027
full_graph,64,0.8659,0.0077,3,1.9615,0.0105,1.9858,0.0119
full_graph,128,0.8758,0.0102,3,3.94,0.1434,3.9746,0.1433
geo_rademacher,2,0.3001,0.0021,3,2.6044,0.1448,2.6099,0.1451
geo_rademacher,4,0.3407,0.0185,3,3.3728,0.341,3.3799,0.3412
geo_rademacher,8,0.4256,0.029,3,3.2247,0.075,3.2317,0.0755
geo_rademacher,16,0.564,0.0111,3,3.9765,0.3079,3.9858,0.3084
geo_rademacher,32,0.6765,0.0087,3,4.8712,0.0713,4.8823,0.0709
geo_rademacher,64,0.7214,0.0018,3,7.648,0.6035,7.6606,0.6032
geo_rademacher,128,0.7245,0.0314,3,13.6937,1.4838,13.7164,1.4837
hierarchical_l2g,2,0.3432,0.0565,3,1.9395,0.3458,1.9441,0.3467
hierarchical_l2g,4,0.4846,0.0778,3,2.0665,0.0935,2.0739,0.0915
hierarchical_l2g,8,0.5301,0.0207,3,2.354,0.0485,2.3635,0.0478
hierarchical_l2g,16,0.7128,0.0186,3,2.6736,0.0576,2.6847,0.0589
hierarchical_l2g,32,0.7847,0.0056,3,3.4596,0.0208,3.4734,0.0198
hierarchical_l2g,64,0.8106,0.0119,3,4.8464,0.218,4.8646,0.2181
hierarchical_l2g,128,0.8432,0.0096,3,8.7973,0.2505,8.8261,0.251
l2g_rademacher,2,0.3266,0.024,3,3.1628,2.2688,3.1679,2.269
l2g_rademacher,4,0.3358,0.0208,3,1.9204,0.1693,1.9249,0.1697
l2g_rademacher,8,0.4219,0.0202,3,2.3648,0.0988,2.3711,0.1005
l2g_rademacher,16,0.5695,0.0262,3,3.063,0.2412,3.0701,0.2414
l2g_rademacher,32,0.6722,0.0102,3,3.6976,0.1771,3.7057,0.1773
l2g_rademacher,64,0.7042,0.0126,3,5.7861,0.4902,5.7956,0.4908
l2g_rademacher,128,0.7146,0.0141,3,10.8852,0.2835,10.8991,0.2835
l2g_standard,2,0.3044,0.0018,3,3.1919,0.759,3.1979,0.7584
l2g_standard,4,0.3303,0.0176,3,2.8602,0.2357,2.8683,0.2367
l2g_standard,8,0.4428,0.0218,3,3.0805,0.0733,3.0883,0.0743
l2g_standard,16,0.5806,0.0332,3,3.6841,0.1764,3.693,0.1763
l2g_standard,32,0.695,0.0075,3,4.9686,0.1915,4.9785,0.1923
l2g_standard,64,0.7189,0.0149,3,7.2262,0.4712,7.2355,0.4714
l2g_standard,128,0.7319,0.0059,3,13.7862,1.1943,13.8,1.1944
