method,embedding_dim,accuracy_mean,accuracy_std,accuracy_count,embedding_time_mean,embedding_time_std,total_time_mean,total_time_std
full_graph,4,0.4459,0.0326,3,0.7951,0.0376,0.8055,0.0356
full_graph,8,0.6673,0.0546,3,0.8124,0.0059,0.8285,0.0072
full_graph,16,0.7288,0.0352,3,0.9757,0.0091,0.9997,0.0108
full_graph,32,0.8395,0.0193,3,1.3289,0.0145,1.3496,0.0152
full_graph,64,0.8616,0.0067,3,1.9426,0.0221,1.9666,0.0229
full_graph,128,0.8721,0.0138,3,3.7419,0.1291,3.7778,0.1265
geo_rademacher,4,0.3444,0.0213,3,2.4686,0.3092,2.4735,0.3092
geo_rademacher,8,0.4059,0.024,3,2.7091,0.0243,2.7152,0.0242
geo_rademacher,16,0.5947,0.0619,3,3.079,0.0623,3.0872,0.062
geo_rademacher,32,0.6765,0.0522,3,4.3911,0.1115,4.4003,0.1114
geo_rademacher,64,0.7189,0.0252,3,6.3523,0.3389,6.364,0.3395
geo_rademacher,128,0.7245,0.0038,3,11.6053,0.3959,11.6234,0.3957
hierarchical_l2g,4,0.452,0.0443,3,1.8369,0.0401,1.8427,0.0396
hierarchical_l2g,8,0.6396,0.0237,3,2.3535,0.1041,2.3644,0.1024
hierarchical_l2g,16,0.7097,0.0363,3,2.5593,0.0698,2.5711,0.0702
hierarchical_l2g,32,0.7675,0.0227,3,3.3429,0.0285,3.3565,0.029
hierarchical_l2g,64,0.8124,0.0075,3,4.7737,0.1343,4.7926,0.1339
hierarchical_l2g,128,0.8376,0.0115,3,8.0276,0.4977,8.0541,0.499
l2g_rademacher,4,0.3395,0.0103,3,3.3546,2.2056,3.3591,2.2053
l2g_rademacher,8,0.4077,0.0224,3,2.2718,0.0936,2.2776,0.0932
l2g_rademacher,16,0.5886,0.0128,3,2.7866,0.0591,2.7938,0.0591
l2g_rademacher,32,0.6599,0.06,3,3.3031,0.1535,3.3112,0.1541
l2g_rademacher,64,0.7091,0.0102,3,5.0142,0.1863,5.0239,0.1868
l2g_rademacher,128,0.7331,0.0175,3,9.7805,0.476,9.7936,0.4758
l2g_standard,4,0.3512,0.0141,3,2.3447,0.0871,2.3498,0.0874
l2g_standard,8,0.4391,0.0248,3,2.561,0.1749,2.5678,0.1748
l2g_standard,16,0.5769,0.0155,3,2.7652,0.0024,2.7724,0.0023
l2g_standard,32,0.6968,0.0087,3,3.6061,0.0683,3.6146,0.0685
l2g_standard,64,0.7331,0.0102,3,6.0505,0.2812,6.0596,0.2817
l2g_standard,128,0.7503,0.017,3,11.8043,0.3511,11.8177,0.351
