method,embedding_dim,accuracy_mean,accuracy_std,accuracy_count,embedding_time_mean,embedding_time_std,total_time_mean,total_time_std
full_graph,32,0.8183,0.0022,3,54.9708,9.1818,55.4387,9.226
full_graph,64,0.8221,0.0065,3,92.3424,0.3932,93.1565,0.4305
full_graph,128,0.8249,0.0018,3,168.0905,1.6488,169.9126,1.8251
full_graph,256,0.8335,0.0076,3,317.9601,5.915,323.3827,6.4888
graphsage_full,32,0.6814,0.0,3,0.012,0.0001,0.0663,0.001
graphsage_full,64,0.6814,0.0,3,0.024,0.0,0.0912,0.0006
graphsage_full,128,0.6814,0.0,3,0.048,0.0002,0.2019,0.0018
graphsage_full,256,0.6814,0.0,3,0.0965,0.0005,0.4041,0.0147
hierarchical_unified,32,0.6814,0.0,3,0.013,0.0003,0.0712,0.0015
hierarchical_unified,64,0.6814,0.0,3,0.0245,0.0007,0.0948,0.0105
hierarchical_unified,128,0.6814,0.0,3,0.0481,0.0001,0.2008,0.0003
hierarchical_unified,256,0.6814,0.0,3,0.0963,0.0002,0.3938,0.0023
patched_geo,32,0.7274,0.012,3,78.3956,8.3449,78.7947,8.2927
patched_geo,64,0.7436,0.0209,3,70.412,5.8043,70.9969,5.8677
patched_geo,128,0.7436,0.0541,3,99.2383,84.8624,100.821,86.0665
patched_geo,256,0.7124,0.0539,3,179.8466,308.4576,182.5373,312.5491
patched_l2g_rademacher,32,0.6983,0.0294,3,16.3769,22.1686,16.5278,22.3209
patched_l2g_rademacher,64,0.7118,0.0527,3,20.5671,33.1113,20.8265,33.4043
patched_l2g_rademacher,128,0.6814,0.0,3,1.5861,0.0225,1.7769,0.0327
patched_l2g_rademacher,256,0.7953,0.0072,3,132.4334,4.2706,139.2824,3.9224
